Category,Category Reassignment,Sub-Category,Subcategory Reassignment,Sub-Category 2,Subcategory 2 reassignment,Resource assignment,Priority,RCB,Exceptions
Plumbing,,Bathtub,,Limited Pressure,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Bathtub,,Noisy,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Bathtub,,"Other, Please Provide Description",,Tech I II III,normal,,
Plumbing,,Faucet,,Broken Handle/Knob,,Tech I II III,normal,x,
Plumbing,,Faucet,,Leak at faucet handle,Leak at faucet handle,Tech I II III,normal,,
Plumbing,,Faucet,,Leak below sink,Leak below sink,Tech I II III,emergency,,
Plumbing,,Faucet,,No Water,,Tech I II III,high,,
Plumbing,,Faucet,,Damaged,,Tech I II III,normal,x,
Plumbing,,Faucet,,Drips,Drips into Sink,Tech I II III,normal,,
Plumbing,,Faucet,,Noisy,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Faucet,,Limited Pressure,,Tech I II III,normal,,
Plumbing,,Faucet,,Missing Component,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Faucet,,Broken Faucet Sprayer,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Faucet,,No Hot water / sink only,No Hot water / sink only,Tech I II III,high,,
Plumbing,,Faucet,,Sprays Excessively,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Faucet,,Rust,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Faucet,,"Other, Please Provide Description",,Tech I II III,normal,,
Plumbing,,Garbage Disposal,,Damaged,,Tech I II III,normal,x,
Plumbing,,Garbage Disposal,,Not Disposing/Draining,Clogged / Disposer Only,Tech I II III,normal,x,
Plumbing,,Garbage Disposal,,leaks below sink ,leaks below sink ,Tech I II III,high,,
Plumbing,,Garbage Disposal,,Won't Spin,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Garbage Disposal,,Strange Odor,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Garbage Disposal,,Not Operatiing,Not Operatiing,Tech I II III,normal,x,"""Not Operating"" missing from Subcat 2 pick list"
Plumbing,,Garbage Disposal,,"Other, Please Provide Description",,Tech I II III,normal,,
Plumbing,,"Other, Please Provide Description",,,,Tech I II III,normal,,
Plumbing,,Pipes,,Leaks,,Tech I II III,emergency,,
Plumbing,,Pipes,,burst pipe with flooding ,burst pipe with flooding ,Vend,emergency,,
Plumbing,,Pipes,,Clogged,complete home/drains backed up ,Vend,emergency,,
Plumbing,,Pipes,,Damaged,,Tech I II III,normal,x,
Plumbing,,Pipes,,Rust,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Pipes,,"Other, Please Provide Description",,Tech I II III,normal,,
Plumbing,,Septic Tank/Sewage,,Overflowing,,Vend,emergency,,
Plumbing,,Septic Tank/Sewage,,Leaks,,Vend,emergency,,
Plumbing,,Septic Tank/Sewage,,Emitting Odor,,Tech I II III,high,,
Plumbing,,Septic Tank/Sewage,,Damaged,"Other, Please Provide Description",Vend,normal,x,
Plumbing,,Septic Tank/Sewage,,Sewer Relief Valve Install,,Tech I II III,normal,,
Plumbing,,Septic Tank/Sewage,,"Other, Please Provide Description","Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Shower,,Broken Handle,,Tech I II III,normal,x,
Plumbing,,Shower,,Leak outside of shower area,Leak outside of shower area,Tech I II III,high,,
Plumbing,,Shower,,No hot water / Shower only,No hot water / Shower only,Tech I II III,high,,
Plumbing,,Shower,,Damaged,,Tech I II III,normal,x,
Plumbing,,Shower,,Clogged / Shower Only,Clogged / Shower Only,Tech I II III,high,x,
Plumbing,,Shower,,Shower head drips,Drips into shower ,Tech I II III,high,,
Plumbing,,Shower,,Limited Pressure,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Shower,,No Water,No water to Shower only,Tech I II III,high,,
Plumbing,,Shower,,Missing Component,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Shower,,Loose Fixtures,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Shower,,Noisy,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Shower,,Controls Very Tight To Turn,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Shower,,Rust,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Shower,,Loose Showerhead,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Shower,,"Other, Please Provide Description",,Tech I II III,normal,,
Plumbing,,Sink,,Leaks,,Tech I II III,high,,
Plumbing,,Sink,,Clogged,Clogged / Sink Only,Tech I II III,high,x,
Plumbing,,Sink,,Missing Component,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Sink,,Damaged,,Tech I II III,normal,x,
Plumbing,,Sink,,Rust,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Sink,,"Other, Please Provide Description","Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Toilet,,Water running into bowl,Water running into bowl,Tech I II III,high,,
Plumbing,,Toilet,,Toilet Won't Fill,wont flush,Tech I II III,high,,
Plumbing,,Toilet,,Clogged,Clogged / toilet only,Tech I II III,high,x,
Plumbing,,Toilet,,Leaks outside of toilet,Leaks outside of toilet,Tech I II III,emergency,,
Plumbing,,Toilet,,Damaged,,Tech I II III,high,x,
Plumbing,,Toilet,,Loose Toilet,Loose Toilet,Tech I II III,normal,,
Plumbing,,Toilet,,Broken Handle,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Toilet,,Won't Flush,,Tech I II III,high,,
Plumbing,,Toilet,,Limited Pressure,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Toilet,,"Other, Please Provide Description","Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Toilet,,Replace Flapper,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Toilet,,Chain Broke,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Toilet,,Noisy,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Toilet,,Missing Component,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Toilet,,Rust,"Other, Please Provide Description",Tech I II III,normal,,
Pool,Pool,Deck/ surface,Deck/ surface, Damaged Surface,,vend,high,x,
Pool,Pool,Deck/ surface,Deck/ surface,"Other, please provide description","Other, please provide description",vend,normal,,
Pool,Pool,"Other, please provide description",Strainer/ Basin ,,"Other, please provide description",vend,normal,,
Pool,Pool,Replace Filter,,,"Other, please provide description",vend,normal,,
Pool,Pool,General Pool,Pool interior ,Broken Jets,Surface damaged or failing ,vend,high,,
Pool,Pool,General Pool,,Broken Temperture Gauge,dirty/ needs cleaning,vend,normal,,
Pool,Pool,Damaged Pool Cover,,,,vend,normal,,
Pool,Pool,excessive water loss ,,,excessive water loss ,vend,high,,
Pool,Pool,pool light not working,Pool interior ,,pool light not working,vend,high,,
Pool,Pool,General Pool,,Missing Comonent,"Other, please provide description",vend,normal,,
Pool,Pool,Overflowing,Pool interior ,,,vend,high,,
Pool,Pool,Heater not working ,,,Heater not working ,vend,high,,
Pool,Pool,Pump not working,,,Pump not working,vend,high,,
Roof,,Pitched Shingled Roof,Pitched Shingled Roof,Damaged Gutters,,vend,normal,,
Roof,,Pitched Shingled Roof,Pitched Shingled Roof,Damaged Roof,,vend,high,,
Roof,,Pitched Shingled Roof,Pitched Shingled Roof,Leaking Roof ,Leaking Roof ,vend,emergency,,
Roof,,Pitched Shingled Roof,Pitched Shingled Roof,Missing shingles ,Missing shingles ,vend,high,,
Roof,,Pitched Shingled Roof,Pitched Shingled Roof,"Other, please provide description","Other, please provide description",vend,normal,,
Roof,,Flat Roof,Flat Roof,Damaged Gutters,,vend,normal,,
Roof,,Flat Roof,Flat Roof,Damaged Roof,,vend,high,,
Roof,,Flat Roof,Flat Roof,Leaking Roof ,Leaking Roof ,vend,emergency,,
Roof,,Flat Roof,Flat Roof,"Other, please provide description","Other, please provide description",vend,normal,,
Roof,,Flat Roof,Flat Roof,Puddling,"Other, please provide description",vend,normal,,
Roof,,Storm Damage,Storm Damage,Damaged Gutters,Leaking Roof ,vend,emergency,,
Roof,,General,General,Damaged Roof,"Other, please provide description",vend,normal,,
Roof,,General,General,Leaking Roof ,Stained or Discolored,vend,normal,,
Roof,,General,General,"Other, please provide description","Other, please provide description",vend,normal,,
Roof,,General,General,Puddling,"Other, please provide description",vend,normal,,
Roof,,General,General,Damaged Gutters,"Other, please provide description",vend,normal,,
Roof,,General,General,Damaged Roof,"Other, please provide description",vend,normal,,
Roof,,General,General,Leaks,"Other, please provide description",vend,normal,,
Roof,,General,General,Missing Components,"Other, please provide description",vend,normal,,
Roof,,General,General,Puddling,"Other, please provide description",vend,normal,,
Roof,,Roof-Tile,,Damaged Gutters,,vend,normal,,
Roof,,Roof-Tile,,Damaged Roof,,vend,high,,
Roof,,Roof-Tile,,Leaking Roof ,Leaking Roof ,vend,emergency,,
Roof,,Roof-Tile,,Missing shingles ,Missing shingles ,vend,high,,
Roof,,Roof-Tile,,"Other, please provide description","Other, please provide description",vend,normal,,
Siding,,Cement Board,Cement Board,Damaged Siding,,vend,high,,
Siding,,Stucco,,Damaged Siding,,vend,high,,
Siding,,Vinyl,,Damaged Siding,,vend,high,,
Siding,,Wood,,Damaged Siding,,vend,high,,
Water Intrusion,,Roof ,Roof ,,Active leak,vend,emergency,,
Water Intrusion,,Siding,Siding,,Active leak,vend,emergency,,
Water Intrusion,,Flooring,Flooring,,Active leak,vend,emergency,,
Water Intrusion,,Wall,Wall,,Active leak,vend,emergency,,
Water Intrusion,,Unknown,Unknown,,Active leak,tech I II III,emergency,,
Water Intrusion,,Exterior Door,Exterior Door,,Active leak,tech I II III,emergency,,
Water Intrusion,,Window,Window,,Active leak,vend,emergency,,
Water Intrusion,,Garage ,Garage ,,Active leak,vend,emergency,,
Water Intrusion,,Plumbing fixture,Plumbing fixture,,Active leak,tech I II III,emergency,,
Water Intrusion,,HVAC System,HVAC System,,Active leak,tech I II III,emergency,,
Water Intrusion,,"Other, please provide description","Other, please provide description",,,tech I II III,high,,
